Lemma('long.a.01.long'): {'lemma': 'long', 'pos': 'ADJ', 'synset': Synset('long.a.01')}
Lemma('meet.v.04.fulfill'): {'lemma': 'fulfill', 'pos': 'VERB', 'synset': Synset('meet.v.04')}
Lemma('desire.n.02.desire'): {'lemma': 'desire', 'pos': 'NOUN', 'synset': Synset('desire.n.02')}
Lemma('assemble.v.03.get_together'): {'lemma': 'get_together', 'pos': 'VERB', 'synset': Synset('assemble.v.03')}
Lemma('inadequately.r.01.inadequately'): {'lemma': 'inadequately', 'pos': 'ADV', 'synset': Synset('inadequately.r.01')}
Lemma('acquainted.s.01.acquainted'): {'lemma': 'acquainted', 'pos': 'ADJ', 'synset': Synset('acquainted.s.01')}
Lemma('bring.v.02.bring'): {'lemma': 'bring', 'pos': 'VERB', 'synset': Synset('bring.v.02')}
Lemma('degree.n.01.level'): {'lemma': 'level', 'pos': 'NOUN', 'synset': Synset('degree.n.01')}
Lemma('acquaintance.n.02.acquaintance'): {'lemma': 'acquaintance', 'pos': 'NOUN', 'synset': Synset('acquaintance.n.02')}
Lemma('adequacy.n.01.adequacy'): {'lemma': 'adequacy', 'pos': 'NOUN', 'synset': Synset('adequacy.n.01')}
Lemma('future.s.03.future'): {'lemma': 'future', 'pos': 'ADJ', 'synset': Synset('future.s.03')}
Lemma('concerted.s.01.cooperative'): {'lemma': 'cooperative', 'pos': 'ADJ', 'synset': Synset('concerted.s.01')}
Lemma('enterprise.n.01.endeavor'): {'lemma': 'endeavor', 'pos': 'NOUN', 'synset': Synset('enterprise.n.01')}
Lemma('party.n.02.party'): {'lemma': 'party', 'pos': 'NOUN', 'synset': Synset('party.n.02')}
Lemma('guest.n.01.guest'): {'lemma': 'guest', 'pos': 'NOUN', 'synset': Synset('guest.n.01')}
Lemma('sight.n.05.sight'): {'lemma': 'sight', 'pos': 'NOUN', 'synset': Synset('sight.n.05')}
Lemma('earshot.n.01.hearing'): {'lemma': 'hearing', 'pos': 'NOUN', 'synset': Synset('earshot.n.01')}
Lemma('oral.s.01.oral'): {'lemma': 'oral', 'pos': 'ADJ', 'synset': Synset('oral.s.01')}
Lemma('air.v.03.broadcast'): {'lemma': 'broadcast', 'pos': 'VERB', 'synset': Synset('air.v.03')}
Lemma('air_wave.n.01.air_wave'): {'lemma': 'air_wave', 'pos': 'NOUN', 'synset': Synset('air_wave.n.01')}
Lemma('experience.v.03.receive'): {'lemma': 'receive', 'pos': 'VERB', 'synset': Synset('experience.v.03')}
Lemma('ear.n.01.ear'): {'lemma': 'ear', 'pos': 'NOUN', 'synset': Synset('ear.n.01')}
Lemma('air.n.01.air'): {'lemma': 'air', 'pos': 'NOUN', 'synset': Synset('air.n.01')}
Lemma('continuum.n.01.continuum'): {'lemma': 'continuum', 'pos': 'NOUN', 'synset': Synset('continuum.n.01')}
Lemma('regardless.r.01.regardless'): {'lemma': 'regardless', 'pos': 'ADV', 'synset': Synset('regardless.r.01')}
Lemma('position.n.07.position'): {'lemma': 'position', 'pos': 'NOUN', 'synset': Synset('position.n.07')}
Lemma('movement.n.03.motion'): {'lemma': 'motion', 'pos': 'NOUN', 'synset': Synset('movement.n.03')}
Lemma('point.n.02.point'): {'lemma': 'point', 'pos': 'NOUN', 'synset': Synset('point.n.02')}
Lemma('internet.n.01.net'): {'lemma': 'net', 'pos': 'NOUN', 'synset': Synset('internet.n.01')}
Lemma('picture.v.02.show'): {'lemma': 'show', 'pos': 'VERB', 'synset': Synset('picture.v.02')}
Lemma('figure.n.01.figure'): {'lemma': 'figure', 'pos': 'NOUN', 'synset': Synset('figure.n.01')}
Lemma('connection.n.03.connection'): {'lemma': 'connection', 'pos': 'NOUN', 'synset': Synset('connection.n.03')}
Lemma('connection.n.02.connection'): {'lemma': 'connection', 'pos': 'NOUN', 'synset': Synset('connection.n.02')}
Lemma('couple.n.04.pair'): {'lemma': 'pair', 'pos': 'NOUN', 'synset': Synset('couple.n.04')}
Lemma('qualification.n.02.qualification'): {'lemma': 'qualification', 'pos': 'NOUN', 'synset': Synset('qualification.n.02')}
Lemma('complete.s.02.complete'): {'lemma': 'complete', 'pos': 'ADJ', 'synset': Synset('complete.s.02')}
Lemma('chaotic.s.01.chaotic'): {'lemma': 'chaotic', 'pos': 'ADJ', 'synset': Synset('chaotic.s.01')}
Lemma('communication_system.n.01.communication_system'): {'lemma': 'communication_system', 'pos': 'NOUN', 'synset': Synset('communication_system.n.01')}
Lemma('think_up.v.01.dream_up'): {'lemma': 'dream_up', 'pos': 'VERB', 'synset': Synset('think_up.v.01')}
Lemma('decorum.n.01.decorum'): {'lemma': 'decorum', 'pos': 'NOUN', 'synset': Synset('decorum.n.01')}
Lemma('keep.v.01.hold'): {'lemma': 'hold', 'pos': 'VERB', 'synset': Synset('keep.v.01')}
Lemma('complimentary.a.01.complimentary'): {'lemma': 'complimentary', 'pos': 'ADJ', 'synset': Synset('complimentary.a.01')}
Lemma('intonation.n.01.intonation'): {'lemma': 'intonation', 'pos': 'NOUN', 'synset': Synset('intonation.n.01')}
Lemma('customarily.r.01.customarily'): {'lemma': 'customarily', 'pos': 'ADV', 'synset': Synset('customarily.r.01')}
Lemma('completeness.n.01.completeness'): {'lemma': 'completeness', 'pos': 'NOUN', 'synset': Synset('completeness.n.01')}
Lemma('provide.v.03.provide'): {'lemma': 'provide', 'pos': 'VERB', 'synset': Synset('provide.v.03')}
Lemma('line.n.11.line'): {'lemma': 'line', 'pos': 'NOUN', 'synset': Synset('line.n.11')}
Lemma('communication.n.03.communication'): {'lemma': 'communication', 'pos': 'NOUN', 'synset': Synset('communication.n.03')}
Lemma('battalion.n.02.large_number'): {'lemma': 'large_number', 'pos': 'NOUN', 'synset': Synset('battalion.n.02')}
Lemma('diagram.n.01.diagram'): {'lemma': 'diagram', 'pos': 'NOUN', 'synset': Synset('diagram.n.01')}
Lemma('come.v.09.come'): {'lemma': 'come', 'pos': 'VERB', 'synset': Synset('come.v.09')}
Lemma('failing.n.01.weakness'): {'lemma': 'weakness', 'pos': 'NOUN', 'synset': Synset('failing.n.01')}
Lemma('dream.n.02.dream'): {'lemma': 'dream', 'pos': 'NOUN', 'synset': Synset('dream.n.02')}
Lemma('ambition.n.01.dream'): {'lemma': 'dream', 'pos': 'NOUN', 'synset': Synset('ambition.n.01')}
Lemma('incoming.a.01.incoming'): {'lemma': 'incoming', 'pos': 'ADJ', 'synset': Synset('incoming.a.01')}
Lemma('clog.v.06.overload'): {'lemma': 'overload', 'pos': 'VERB', 'synset': Synset('clog.v.06')}
Lemma('receiver.n.01.receiving_system'): {'lemma': 'receiving_system', 'pos': 'NOUN', 'synset': Synset('receiver.n.01')}
Lemma('comprehension.n.01.comprehension'): {'lemma': 'comprehension', 'pos': 'NOUN', 'synset': Synset('comprehension.n.01')}
Lemma('exceed.v.01.exceed'): {'lemma': 'exceed', 'pos': 'VERB', 'synset': Synset('exceed.v.01')}
Lemma('crowd.n.01.crowd'): {'lemma': 'crowd', 'pos': 'NOUN', 'synset': Synset('crowd.n.01')}
Lemma('consequently.r.02.consequently'): {'lemma': 'consequently', 'pos': 'ADV', 'synset': Synset('consequently.r.02')}
Lemma('disperse.v.02.break_up'): {'lemma': 'break_up', 'pos': 'VERB', 'synset': Synset('disperse.v.02')}
Lemma('separate.v.08.break_up'): {'lemma': 'break_up', 'pos': 'VERB', 'synset': Synset('separate.v.08')}
Lemma('impermanent.a.01.temporary'): {'lemma': 'temporary', 'pos': 'ADJ', 'synset': Synset('impermanent.a.01')}
Lemma('size.n.01.size'): {'lemma': 'size', 'pos': 'NOUN', 'synset': Synset('size.n.01')}
Lemma('six.n.01.six'): {'lemma': 'six', 'pos': 'NOUN', 'synset': Synset('six.n.01')}
Lemma('half_life.n.01.half_life'): {'lemma': 'half_life', 'pos': 'NOUN', 'synset': Synset('half_life.n.01')}
Lemma('bunch.n.01.cluster'): {'lemma': 'cluster', 'pos': 'NOUN', 'synset': Synset('bunch.n.01')}
Lemma('wish.v.02.wish'): {'lemma': 'wish', 'pos': 'VERB', 'synset': Synset('wish.v.02')}
Lemma('wish.v.01.wish'): {'lemma': 'wish', 'pos': 'VERB', 'synset': Synset('wish.v.01')}
Lemma('esteemed.s.01.honored'): {'lemma': 'honored', 'pos': 'ADJ', 'synset': Synset('esteemed.s.01')}
Lemma('newcomer.n.02.newcomer'): {'lemma': 'newcomer', 'pos': 'NOUN', 'synset': Synset('newcomer.n.02')}
Lemma('open_house.n.01.open_house'): {'lemma': 'open_house', 'pos': 'NOUN', 'synset': Synset('open_house.n.01')}
Lemma('advantageous.a.01.advantageous'): {'lemma': 'advantageous', 'pos': 'ADJ', 'synset': Synset('advantageous.a.01')}
Lemma('fixed.s.01.fixed'): {'lemma': 'fixed', 'pos': 'ADJ', 'synset': Synset('fixed.s.01')}
Lemma('connective.s.01.connective'): {'lemma': 'connective', 'pos': 'ADJ', 'synset': Synset('connective.s.01')}
Lemma('break.v.18.break'): {'lemma': 'break', 'pos': 'VERB', 'synset': Synset('break.v.18')}
Lemma('break.v.10.break'): {'lemma': 'break', 'pos': 'VERB', 'synset': Synset('break.v.10')}
Lemma('assembly.n.06.assemblage'): {'lemma': 'assemblage', 'pos': 'NOUN', 'synset': Synset('assembly.n.06')}
Lemma('gathering.n.01.assemblage'): {'lemma': 'assemblage', 'pos': 'NOUN', 'synset': Synset('gathering.n.01')}
Lemma('inhabited.a.01.inhabited'): {'lemma': 'inhabited', 'pos': 'ADJ', 'synset': Synset('inhabited.a.01')}
Lemma('dwelling.n.01.dwelling'): {'lemma': 'dwelling', 'pos': 'NOUN', 'synset': Synset('dwelling.n.01')}
Lemma('configuration.n.01.configuration'): {'lemma': 'configuration', 'pos': 'NOUN', 'synset': Synset('configuration.n.01')}
Lemma('arable.s.01.arable'): {'lemma': 'arable', 'pos': 'ADJ', 'synset': Synset('arable.s.01')}
Lemma('site.n.01.land_site'): {'lemma': 'land_site', 'pos': 'NOUN', 'synset': Synset('site.n.01')}
Lemma('subsistence.n.02.subsistence'): {'lemma': 'subsistence', 'pos': 'NOUN', 'synset': Synset('subsistence.n.02')}
Lemma('assume.v.01.assume'): {'lemma': 'assume', 'pos': 'VERB', 'synset': Synset('assume.v.01')}
Lemma('exemplification.n.01.illustration'): {'lemma': 'illustration', 'pos': 'NOUN', 'synset': Synset('exemplification.n.01')}
Lemma('land.n.01.land'): {'lemma': 'land', 'pos': 'NOUN', 'synset': Synset('land.n.01')}
Lemma('plot.n.02.plot'): {'lemma': 'plot', 'pos': 'NOUN', 'synset': Synset('plot.n.02')}
Lemma('distance.n.01.distance'): {'lemma': 'distance', 'pos': 'NOUN', 'synset': Synset('distance.n.01')}
Lemma('greater.a.01.greater'): {'lemma': 'greater', 'pos': 'ADJ', 'synset': Synset('greater.a.01')}
Lemma('voice.n.01.voice'): {'lemma': 'voice', 'pos': 'NOUN', 'synset': Synset('voice.n.01')}
Lemma('impart.v.03.carry'): {'lemma': 'carry', 'pos': 'VERB', 'synset': Synset('impart.v.03')}
Lemma('neighbor.n.01.neighbor'): {'lemma': 'neighbor', 'pos': 'NOUN', 'synset': Synset('neighbor.n.01')}
Lemma('secondhand.r.01.secondhand'): {'lemma': 'secondhand', 'pos': 'ADV', 'synset': Synset('secondhand.r.01')}
Lemma('hand.n.05.hand'): {'lemma': 'hand', 'pos': 'NOUN', 'synset': Synset('hand.n.05')}
Lemma('distortable.s.01.distortable'): {'lemma': 'distortable', 'pos': 'ADJ', 'synset': Synset('distortable.s.01')}
Lemma('rumor.n.01.rumor'): {'lemma': 'rumor', 'pos': 'NOUN', 'synset': Synset('rumor.n.01')}
Lemma('designate.v.01.designate'): {'lemma': 'designate', 'pos': 'VERB', 'synset': Synset('designate.v.01')}
Lemma('letter.n.02.letter'): {'lemma': 'letter', 'pos': 'NOUN', 'synset': Synset('letter.n.02')}
Lemma('attach_to.v.01.accompany'): {'lemma': 'accompany', 'pos': 'VERB', 'synset': Synset('attach_to.v.01')}
Lemma('numeral.n.01.number'): {'lemma': 'number', 'pos': 'NOUN', 'synset': Synset('numeral.n.01')}
Lemma('point.n.01.point'): {'lemma': 'point', 'pos': 'NOUN', 'synset': Synset('point.n.01')}
Lemma('intermediate.a.01.intermediate'): {'lemma': 'intermediate', 'pos': 'ADJ', 'synset': Synset('intermediate.a.01')}
Lemma('social_organization.n.01.social_system'): {'lemma': 'social_system', 'pos': 'NOUN', 'synset': Synset('social_organization.n.01')}
Lemma('equal.a.01.equal'): {'lemma': 'equal', 'pos': 'ADJ', 'synset': Synset('equal.a.01')}
Lemma('place.n.03.place'): {'lemma': 'place', 'pos': 'NOUN', 'synset': Synset('place.n.03')}
Lemma('house.v.01.house'): {'lemma': 'house', 'pos': 'VERB', 'synset': Synset('house.v.01')}
Lemma('most.r.02.most'): {'lemma': 'most', 'pos': 'ADV', 'synset': Synset('most.r.02')}
Lemma('directly.r.02.directly'): {'lemma': 'directly', 'pos': 'ADV', 'synset': Synset('directly.r.02')}
Lemma('indirectly.r.01.indirectly'): {'lemma': 'indirectly', 'pos': 'ADV', 'synset': Synset('indirectly.r.01')}
Lemma('relay.v.01.relay'): {'lemma': 'relay', 'pos': 'VERB', 'synset': Synset('relay.v.01')}
Lemma('inhabitant.n.01.dweller'): {'lemma': 'dweller', 'pos': 'NOUN', 'synset': Synset('inhabitant.n.01')}
Lemma('remedy.n.02.cure'): {'lemma': 'cure', 'pos': 'NOUN', 'synset': Synset('remedy.n.02')}
Lemma('slow.a.01.slow'): {'lemma': 'slow', 'pos': 'ADJ', 'synset': Synset('slow.a.01')}
Lemma('pressing.s.01.urgent'): {'lemma': 'urgent', 'pos': 'ADJ', 'synset': Synset('pressing.s.01')}
Lemma('distress.n.02.distress'): {'lemma': 'distress', 'pos': 'NOUN', 'synset': Synset('distress.n.02')}
Lemma('farthest.r.01.farthest'): {'lemma': 'farthest', 'pos': 'ADV', 'synset': Synset('farthest.r.01')}
Lemma('trade.v.01.trade'): {'lemma': 'trade', 'pos': 'VERB', 'synset': Synset('trade.v.01')}
Lemma('get_across.v.01.put_over'): {'lemma': 'put_over', 'pos': 'VERB', 'synset': Synset('get_across.v.01')}
Lemma('mind.n.06.idea'): {'lemma': 'idea', 'pos': 'NOUN', 'synset': Synset('mind.n.06')}
Lemma('get.v.03.get'): {'lemma': 'get', 'pos': 'VERB', 'synset': Synset('get.v.03')}
Lemma('luck.n.02.hazard'): {'lemma': 'hazard', 'pos': 'NOUN', 'synset': Synset('luck.n.02')}
Lemma('justify.v.01.justify'): {'lemma': 'justify', 'pos': 'VERB', 'synset': Synset('justify.v.01')}
Lemma('habitable.s.01.habitable'): {'lemma': 'habitable', 'pos': 'ADJ', 'synset': Synset('habitable.s.01')}
Lemma('site.n.01.site'): {'lemma': 'site', 'pos': 'NOUN', 'synset': Synset('site.n.01')}
Lemma('mill.v.02.mill'): {'lemma': 'mill', 'pos': 'VERB', 'synset': Synset('mill.v.02')}
Lemma('mine.n.01.mine'): {'lemma': 'mine', 'pos': 'NOUN', 'synset': Synset('mine.n.01')}
Lemma('sugar_maple.n.01.sugar_maple'): {'lemma': 'sugar_maple', 'pos': 'NOUN', 'synset': Synset('sugar_maple.n.01')}
Lemma('camp.n.02.camp'): {'lemma': 'camp', 'pos': 'NOUN', 'synset': Synset('camp.n.02')}
Lemma('theorist.n.01.theorist'): {'lemma': 'theorist', 'pos': 'NOUN', 'synset': Synset('theorist.n.01')}
Lemma('topic.n.02.matter'): {'lemma': 'matter', 'pos': 'NOUN', 'synset': Synset('topic.n.02')}
Lemma('consideration.n.01.consideration'): {'lemma': 'consideration', 'pos': 'NOUN', 'synset': Synset('consideration.n.01')}
Lemma('military.a.01.military'): {'lemma': 'military', 'pos': 'ADJ', 'synset': Synset('military.a.01')}
Lemma('change.v.03.change'): {'lemma': 'change', 'pos': 'VERB', 'synset': Synset('change.v.03')}
Lemma('machine.n.01.machine'): {'lemma': 'machine', 'pos': 'NOUN', 'synset': Synset('machine.n.01')}
Lemma('monitor.v.01.monitor'): {'lemma': 'monitor', 'pos': 'VERB', 'synset': Synset('monitor.v.01')}
Lemma('hookup.n.01.hookup'): {'lemma': 'hookup', 'pos': 'NOUN', 'synset': Synset('hookup.n.01')}
Lemma('noisy.a.01.noisy'): {'lemma': 'noisy', 'pos': 'ADJ', 'synset': Synset('noisy.a.01')}
Lemma('party.n.03.party'): {'lemma': 'party', 'pos': 'NOUN', 'synset': Synset('party.n.03')}
Lemma('signal.n.01.signaling'): {'lemma': 'signaling', 'pos': 'NOUN', 'synset': Synset('signal.n.01')}
Lemma('alexander.n.02.Alexander_the_Great'): {'lemma': 'alexander_the_great', 'pos': 'NOUN', 'synset': Synset('alexander.n.02')}
Lemma('runner.n.02.runner'): {'lemma': 'runner', 'pos': 'NOUN', 'synset': Synset('runner.n.02')}
Lemma('carrier.n.01.carrier'): {'lemma': 'carrier', 'pos': 'NOUN', 'synset': Synset('carrier.n.01')}
Lemma('command.n.02.command'): {'lemma': 'command', 'pos': 'NOUN', 'synset': Synset('command.n.02')}
Lemma('comment.v.01.comment'): {'lemma': 'comment', 'pos': 'VERB', 'synset': Synset('comment.v.01')}
Lemma('at_a_time.r.01.at_once'): {'lemma': 'at_once', 'pos': 'ADV', 'synset': Synset('at_a_time.r.01')}
Lemma('elapse.v.01.pass'): {'lemma': 'pass', 'pos': 'VERB', 'synset': Synset('elapse.v.01')}
Lemma('progress.v.01.progress'): {'lemma': 'progress', 'pos': 'VERB', 'synset': Synset('progress.v.01')}
Lemma('speed.n.01.speed'): {'lemma': 'speed', 'pos': 'NOUN', 'synset': Synset('speed.n.01')}
Lemma('military_vehicle.n.01.military_vehicle'): {'lemma': 'military_vehicle', 'pos': 'NOUN', 'synset': Synset('military_vehicle.n.01')}
Lemma('range.n.02.range'): {'lemma': 'range', 'pos': 'NOUN', 'synset': Synset('range.n.02')}
Lemma('missile.n.01.missile'): {'lemma': 'missile', 'pos': 'NOUN', 'synset': Synset('missile.n.01')}
Lemma('widen.v.04.extend'): {'lemma': 'extend', 'pos': 'VERB', 'synset': Synset('widen.v.04')}
Lemma('use.n.01.use'): {'lemma': 'use', 'pos': 'NOUN', 'synset': Synset('use.n.01')}
Lemma('target-hunting.s.01.target-hunting'): {'lemma': 'target-hunting', 'pos': 'ADJ', 'synset': Synset('target-hunting.s.01')}
Lemma('nose.n.02.nose'): {'lemma': 'nose', 'pos': 'NOUN', 'synset': Synset('nose.n.02')}
Lemma('projectile.n.01.projectile'): {'lemma': 'projectile', 'pos': 'NOUN', 'synset': Synset('projectile.n.01')}
Lemma('breadth.n.01.breadth'): {'lemma': 'breadth', 'pos': 'NOUN', 'synset': Synset('breadth.n.01')}
Lemma('decision_making.n.01.decision_making'): {'lemma': 'decision_making', 'pos': 'NOUN', 'synset': Synset('decision_making.n.01')}
Lemma('overriding.s.01.paramount'): {'lemma': 'paramount', 'pos': 'ADJ', 'synset': Synset('overriding.s.01')}
Lemma('value.n.02.value'): {'lemma': 'value', 'pos': 'NOUN', 'synset': Synset('value.n.02')}
Lemma('parade_ground.n.01.parade_ground'): {'lemma': 'parade_ground', 'pos': 'NOUN', 'synset': Synset('parade_ground.n.01')}
Lemma('restrictive.a.01.restrictive'): {'lemma': 'restrictive', 'pos': 'ADJ', 'synset': Synset('restrictive.a.01')}
Lemma('administration.n.02.organization'): {'lemma': 'organization', 'pos': 'NOUN', 'synset': Synset('administration.n.02')}
Lemma('inferiority.n.01.lower_rank'): {'lemma': 'lower_rank', 'pos': 'NOUN', 'synset': Synset('inferiority.n.01')}
Lemma('repeat.v.01.repeat'): {'lemma': 'repeat', 'pos': 'VERB', 'synset': Synset('repeat.v.01')}
Lemma('general.n.01.general'): {'lemma': 'general', 'pos': 'NOUN', 'synset': Synset('general.n.01')}
Lemma('order.n.01.order'): {'lemma': 'order', 'pos': 'NOUN', 'synset': Synset('order.n.01')}
Lemma('originate.v.01.originate'): {'lemma': 'originate', 'pos': 'VERB', 'synset': Synset('originate.v.01')}
Lemma('end.v.01.terminate'): {'lemma': 'terminate', 'pos': 'VERB', 'synset': Synset('end.v.01')}
Lemma('military_action.n.01.action'): {'lemma': 'action', 'pos': 'NOUN', 'synset': Synset('military_action.n.01')}
Lemma('captain.n.01.captain'): {'lemma': 'captain', 'pos': 'NOUN', 'synset': Synset('captain.n.01')}
Lemma('minor.s.10.small'): {'lemma': 'small', 'pos': 'ADJ', 'synset': Synset('minor.s.10')}
Lemma('display.n.01.display'): {'lemma': 'display', 'pos': 'NOUN', 'synset': Synset('display.n.01')}
Lemma('restrain.v.01.restrain'): {'lemma': 'restrain', 'pos': 'VERB', 'synset': Synset('restrain.v.01')}
Lemma('simplicity.n.01.simplicity'): {'lemma': 'simplicity', 'pos': 'NOUN', 'synset': Synset('simplicity.n.01')}
Lemma('concealed.s.01.hidden'): {'lemma': 'hidden', 'pos': 'ADJ', 'synset': Synset('concealed.s.01')}
Lemma('redundancy.n.01.redundancy'): {'lemma': 'redundancy', 'pos': 'NOUN', 'synset': Synset('redundancy.n.01')}
Lemma('misinterpretation.n.01.misunderstanding'): {'lemma': 'misunderstanding', 'pos': 'NOUN', 'synset': Synset('misinterpretation.n.01')}
Lemma('zero.s.02.zero'): {'lemma': 'zero', 'pos': 'ADJ', 'synset': Synset('zero.s.02')}
Lemma('specify.v.03.specify'): {'lemma': 'specify', 'pos': 'VERB', 'synset': Synset('specify.v.03')}
Lemma('concisely.r.01.briefly'): {'lemma': 'briefly', 'pos': 'ADV', 'synset': Synset('concisely.r.01')}
Lemma('give_voice.v.01.word'): {'lemma': 'word', 'pos': 'VERB', 'synset': Synset('give_voice.v.01')}
Lemma('sound.n.01.sound'): {'lemma': 'sound', 'pos': 'NOUN', 'synset': Synset('sound.n.01')}
Lemma('combinable.s.01.combinable'): {'lemma': 'combinable', 'pos': 'ADJ', 'synset': Synset('combinable.s.01')}
Lemma('sequence.n.01.sequence'): {'lemma': 'sequence', 'pos': 'NOUN', 'synset': Synset('sequence.n.01')}
Lemma('march.n.02.march'): {'lemma': 'march', 'pos': 'NOUN', 'synset': Synset('march.n.02')}
Lemma('maneuver.n.01.maneuver'): {'lemma': 'maneuver', 'pos': 'NOUN', 'synset': Synset('maneuver.n.01')}
Lemma('desire.v.01.desire'): {'lemma': 'desire', 'pos': 'VERB', 'synset': Synset('desire.v.01')}
Lemma('broken.s.08.confused'): {'lemma': 'confused', 'pos': 'ADJ', 'synset': Synset('broken.s.08')}
Lemma('social_event.n.01.social_event'): {'lemma': 'social_event', 'pos': 'NOUN', 'synset': Synset('social_event.n.01')}
Lemma('originate.v.01.develop'): {'lemma': 'develop', 'pos': 'VERB', 'synset': Synset('originate.v.01')}
Lemma('military_personnel.n.01.troops'): {'lemma': 'troops', 'pos': 'NOUN', 'synset': Synset('military_personnel.n.01')}
Lemma('scatter.v.03.disperse'): {'lemma': 'disperse', 'pos': 'VERB', 'synset': Synset('scatter.v.03')}
Lemma('battlefield.n.01.field_of_battle'): {'lemma': 'field_of_battle', 'pos': 'NOUN', 'synset': Synset('battlefield.n.01')}
Lemma('measure.n.02.amount'): {'lemma': 'amount', 'pos': 'NOUN', 'synset': Synset('measure.n.02')}
Lemma('automatically.r.01.automatically'): {'lemma': 'automatically', 'pos': 'ADV', 'synset': Synset('automatically.r.01')}
Lemma('enforce.v.02.enforce'): {'lemma': 'enforce', 'pos': 'VERB', 'synset': Synset('enforce.v.02')}
Lemma('course.n.02.line'): {'lemma': 'line', 'pos': 'NOUN', 'synset': Synset('course.n.02')}
Lemma('long_time.n.01.years'): {'lemma': 'years', 'pos': 'NOUN', 'synset': Synset('long_time.n.01')}
Lemma('replacement.n.01.replacement'): {'lemma': 'replacement', 'pos': 'NOUN', 'synset': Synset('replacement.n.01')}
Lemma('telegram.n.01.wire'): {'lemma': 'wire', 'pos': 'NOUN', 'synset': Synset('telegram.n.01')}
Lemma('runner.n.03.runner'): {'lemma': 'runner', 'pos': 'NOUN', 'synset': Synset('runner.n.03')}
Lemma('radio.n.03.radio'): {'lemma': 'radio', 'pos': 'NOUN', 'synset': Synset('radio.n.03')}
Lemma('radar.n.01.radar'): {'lemma': 'radar', 'pos': 'NOUN', 'synset': Synset('radar.n.01')}
Lemma('television.n.02.television'): {'lemma': 'television', 'pos': 'NOUN', 'synset': Synset('television.n.02')}
Lemma('field.n.11.field'): {'lemma': 'field', 'pos': 'NOUN', 'synset': Synset('field.n.11')}
Lemma('suggest.v.05.suggest'): {'lemma': 'suggest', 'pos': 'VERB', 'synset': Synset('suggest.v.05')}
Lemma('predictable.a.01.predictable'): {'lemma': 'predictable', 'pos': 'ADJ', 'synset': Synset('predictable.a.01')}
Lemma('behavior.n.01.behavior'): {'lemma': 'behavior', 'pos': 'NOUN', 'synset': Synset('behavior.n.01')}
Lemma('adhere.v.02.adhere'): {'lemma': 'adhere', 'pos': 'VERB', 'synset': Synset('adhere.v.02')}
Lemma('tailor.v.01.tailor'): {'lemma': 'tailor', 'pos': 'VERB', 'synset': Synset('tailor.v.01')}
Lemma('meet.v.04.meet'): {'lemma': 'meet', 'pos': 'VERB', 'synset': Synset('meet.v.04')}
Lemma('body.n.02.body'): {'lemma': 'body', 'pos': 'NOUN', 'synset': Synset('body.n.02')}
Lemma('act_as.v.01.act_as'): {'lemma': 'act_as', 'pos': 'VERB', 'synset': Synset('act_as.v.01')}
Lemma('coordinated.s.01.coordinated'): {'lemma': 'coordinated', 'pos': 'ADJ', 'synset': Synset('coordinated.s.01')}
Lemma('unit.n.03.unit'): {'lemma': 'unit', 'pos': 'NOUN', 'synset': Synset('unit.n.03')}
Lemma('factory.n.01.factory'): {'lemma': 'factory', 'pos': 'NOUN', 'synset': Synset('factory.n.01')}
Lemma('college.n.01.college'): {'lemma': 'college', 'pos': 'NOUN', 'synset': Synset('college.n.01')}
Lemma('premise.n.01.assumption'): {'lemma': 'assumption', 'pos': 'NOUN', 'synset': Synset('premise.n.01')}
Lemma('direct.v.04.direct'): {'lemma': 'direct', 'pos': 'VERB', 'synset': Synset('direct.v.04')}
Lemma('direct.v.01.direct'): {'lemma': 'direct', 'pos': 'VERB', 'synset': Synset('direct.v.01')}
Lemma('subordinate.n.01.subordinate'): {'lemma': 'subordinate', 'pos': 'NOUN', 'synset': Synset('subordinate.n.01')}
Lemma('necessitate.v.01.need'): {'lemma': 'need', 'pos': 'VERB', 'synset': Synset('necessitate.v.01')}
Lemma('coach.v.01.coach'): {'lemma': 'coach', 'pos': 'VERB', 'synset': Synset('coach.v.01')}
Lemma('indoctrinate.v.01.indoctrinate'): {'lemma': 'indoctrinate', 'pos': 'VERB', 'synset': Synset('indoctrinate.v.01')}
Lemma('gamble.v.01.run_a_risk'): {'lemma': 'run_a_risk', 'pos': 'VERB', 'synset': Synset('gamble.v.01')}
Lemma('falsify.v.01.distort'): {'lemma': 'distort', 'pos': 'VERB', 'synset': Synset('falsify.v.01')}
Lemma('back-to-back.s.01.consecutive'): {'lemma': 'consecutive', 'pos': 'ADJ', 'synset': Synset('back-to-back.s.01')}
Lemma('mission.n.02.mission'): {'lemma': 'mission', 'pos': 'NOUN', 'synset': Synset('mission.n.02')}
Lemma('relegate.v.01.relegate'): {'lemma': 'relegate', 'pos': 'VERB', 'synset': Synset('relegate.v.01')}
Lemma('line.n.01.line'): {'lemma': 'line', 'pos': 'NOUN', 'synset': Synset('line.n.01')}
Lemma('force.n.04.personnel'): {'lemma': 'personnel', 'pos': 'NOUN', 'synset': Synset('force.n.04')}
Lemma('surprisingly.r.01.surprisingly'): {'lemma': 'surprisingly', 'pos': 'ADV', 'synset': Synset('surprisingly.r.01')}
Lemma('avail.n.01.avail'): {'lemma': 'avail', 'pos': 'NOUN', 'synset': Synset('avail.n.01')}
